		84219900	10 	6 
		84229000	650 	408 
		84238100	627 	44 
		84239000	290 	20 
		84251900	31,360 	3,669 
		84253910	94,338 	9,627 
		84253990	122,080 	14,283 
		84254200	67,200 	7,862 
		84254900	7,800 	912 
		84283900	70 	23 
		84314300	9,347 	126 
		84381000	4,000 	1,091 
		84418000	30,810 	2,591 
		84419000	2,489 	209 
		84424000	5,365 	627 
		84439100	56,198 	1,293 
		84629900	101 	12 
		84661000	98 	12 
		84671900	51,116 	5,946 
		84672100	146 	17 
		84672900	40 	17 
		84679900	5,314 	3,220 
		84713000	617 	142 
		84714100	967 	466 
		84714900	6,634 	11 
		84719000	40 	24 
		84729090	17,373 	1,517 
		84779000	150,475 	13,594 
		84798100	4,664 	19 
		84798900	11,760 	1,016 
		84828000	68,280 	11,080 
		85013100	19 	3 
		85016100	273 	4 
		85044000	620 	1,432 
		85143090	150 	37 
		85171100	80 	26 
		85198159	240 	429 
		85258020	70 	35 
		85271390	75 	25 
		85287290	2,170 	903 
		85309000	5 	2 
		85432000	3,129 	13 
		85437099	1,929 	10 
		85439090	590 	3 
		90303200	80 	1 
	MATERIALES PLASTICOS Y SUS MANUFACTURAS	39074000	156,200 	58,682 
		39153000	1,035 	232 
		39173920	1,344 	157 
		39191010	2 	2 
		39201019	1,245 	554 
		39221020	25 	9 
		39229000	15 	9 
		39233010	10 	3 
		39239090	1,212 	1,042 
		39241090	185 	96 
		39249090	79 	36 
		39261090	38 	15 
		39264000	480 	141 
		39269040	280 	379 
		39269050	72 	8 
		39269099	9,021 	940 
		42021200	1,112 	46 
		42022200	36 	17 
		42029200	1,332 	9 
	MATERIALES TEXTILES (TEJIDOS O TELAS)	52084900	1,800 	12 
		52094900	35,427 	2,787 
		54075100	1,203 	626 
		56039100	41 	11 
		58063900	15 	1 
		58089000	5,638 	37 
		63090090	813 	201 
	MIEL DE ABEJAS	04090000	1,160,738 	364,685 
	MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.	94014000	60 	30 
		94015900	98 	58 
		94016900	90 	54 
		94017100	15 	9 
		94017900	60 	35 
		94018000	190 	105 
		94032000	306 	143 
		94033000	50 	29 
		94034000	125 	40 
		94036000	3,924 	3,026 
		94037000	60 	26 
		94042900	105 	33 
		94043000	65 	36 
		94049000	337 	136 
